index,CATS2D_08_NL,F08[C-N],H-046,Depressant-80,F08[C-O],pEC50
0.0,2.0,1.0,0.0,1.0,5.0,7.6
1.0,2.0,1.0,3.0,1.0,5.0,7.17
2.0,2.0,2.0,0.0,1.0,8.0,7.01
3.0,2.0,1.0,5.0,1.0,7.0,6.98
4.0,2.0,2.0,3.0,1.0,8.0,6.9
5.0,2.0,1.0,4.0,1.0,7.0,6.86
6.0,2.0,1.0,0.0,0.0,5.0,6.77
7.0,2.0,1.0,0.0,0.0,5.0,6.72
8.0,2.0,1.0,3.0,1.0,7.0,6.69
9.0,2.0,1.0,7.0,1.0,7.0,6.67
10.0,2.0,1.0,5.0,0.0,5.0,6.59
11.0,2.0,1.0,3.0,1.0,7.0,6.59
12.0,2.0,1.0,4.0,0.0,6.0,6.58
13.0,2.0,1.0,0.0,0.0,8.0,6.5
14.0,1.0,3.0,0.0,0.0,3.0,6.5
15.0,2.0,1.0,6.0,1.0,7.0,6.45
16.0,2.0,0.0,0.0,1.0,6.0,6.22
17.0,1.0,0.0,0.0,1.0,6.0,5.99
18.0,1.0,2.0,6.0,1.0,8.0,5.95
19.0,1.0,2.0,0.0,1.0,8.0,5.93
20.0,1.0,2.0,4.0,1.0,8.0,5.9
21.0,1.0,1.0,0.0,0.0,3.0,5.77
22.0,1.0,2.0,3.0,1.0,8.0,5.73
23.0,1.0,1.0,3.0,1.0,7.0,5.67
24.0,1.0,0.0,0.0,1.0,6.0,5.63
25.0,1.0,1.0,7.0,1.0,7.0,5.56
26.0,0.0,1.0,0.0,1.0,1.0,5.54
27.0,1.0,1.0,5.0,1.0,7.0,5.5
